Date,Day,Open,High,Low,Close,Adj Close,Volume
01/12/2017,Fri,445.209015,472.609009,428.312012,466.540009,466.540009,1247879936
02/12/2017,Sat,466.851013,476.239014,456.653015,463.449005,463.449005,943649984
03/12/2017,Sun,463.704987,482.813995,451.85199,465.852997,465.852997,990556992
04/12/2017,Mon,466.053986,474.777008,453.312012,470.20401,470.20401,1005550016
05/12/2017,Tue,470.294006,473.558014,457.660004,463.281006,463.281006,1216720000
06/12/2017,Wed,462.604004,462.708008,420.209991,428.588013,428.588013,1998259968
07/12/2017,Thu,426.368988,441.397003,414.411011,434.40799,434.40799,2129570048
08/12/2017,Fri,434.989014,466.062012,422.367004,456.031006,456.031006,2336379904
09/12/2017,Sat,457.343994,504.147003,456.252991,473.502014,473.502014,2003849984
10/12/2017,Sun,472.789001,472.789001,429.514008,441.721008,441.721008,1404179968
11/12/2017,Mon,440.358002,516.968994,439.104004,515.135986,515.135986,1771440000
12/12/2017,Tue,522.286011,657.317993,504.493988,651.43103,651.43103,5179829760
13/12/2017,Wed,644.906006,747.992981,597.797974,702.767029,702.767029,4524539904
14/12/2017,Thu,700.593994,753.120972,664.989014,695.815979,695.815979,3821580032
15/12/2017,Fri,696.375977,697.132019,621.060974,684.447998,684.447998,2758710016
16/12/2017,Sat,686.192017,718.38501,680.786011,696.208984,696.208984,2165690112
17/12/2017,Sun,696.237,735.825012,696.237,719.974976,719.974976,2147389952
18/12/2017,Mon,721.731995,803.927979,689.231018,794.64502,794.64502,3249230080
19/12/2017,Tue,793.901001,881.94397,785.34198,826.822998,826.822998,4096549888
20/12/2017,Wed,827.515991,845.062012,756.004028,819.085999,819.085999,3969939968
21/12/2017,Thu,820.236023,880.54303,792.689026,821.062988,821.062988,3569060096
22/12/2017,Fri,822.643005,827.682983,543.762024,674.859985,674.859985,4977710080
23/12/2017,Sat,681.315979,763.89502,679.731018,719.387024,719.387024,2480339968
24/12/2017,Sun,721.768982,721.768982,614.921997,694.14801,694.14801,2300549888
25/12/2017,Mon,698.869995,782.520996,698.869995,765.833984,765.833984,2491760128
26/12/2017,Tue,763.369995,786.789978,760.934998,773.835999,773.835999,2201159936
27/12/2017,Wed,774.969971,789.252991,738.413025,762.84198,762.84198,2100029952
28/12/2017,Thu,762.208008,763.31897,701.187012,737.02301,737.02301,2389149952
29/12/2017,Fri,740.388977,770.117004,729.607971,753.59198,753.59198,2648969984
30/12/2017,Sat,753.815002,753.815002,685.231018,717.257019,717.257019,3187780096
31/12/2017,Sun,712.211975,760.348022,710.119019,756.732971,756.732971,2554269952
01/01/2018,Mon,755.757019,782.530029,742.004028,772.640991,772.640991,2595760128
02/01/2018,Tue,772.346008,914.830017,772.346008,884.44397,884.44397,5783349760
03/01/2018,Wed,886,974.471008,868.450989,962.719971,962.719971,5093159936
04/01/2018,Thu,961.713013,1045.079956,946.085999,980.921997,980.921997,6502859776
05/01/2018,Fri,975.75,1075.390015,956.325012,997.719971,997.719971,6683149824
06/01/2018,Sat,995.153992,1060.709961,994.622009,1041.680054,1041.680054,4662219776
07/01/2018,Sun,1043.01001,1153.170044,1043.01001,1153.170044,1153.170044,5569880064
08/01/2018,Mon,1158.26001,1266.930054,1016.049988,1148.530029,1148.530029,8450970112
09/01/2018,Tue,1146,1320.97998,1145.48999,1299.73999,1299.73999,7965459968
10/01/2018,Wed,1300.339966,1417.380005,1226.599976,1255.819946,1255.819946,9214950400
11/01/2018,Thu,1268.089966,1337.300049,1135.170044,1154.930054,1154.930054,7235899904
12/01/2018,Fri,1158.290039,1296.040039,1120.089966,1273.199951,1273.199951,5222300160
13/01/2018,Sat,1270.469971,1432.880005,1270.469971,1396.420044,1396.420044,5746760192
14/01/2018,Sun,1397.47998,1400.560059,1286.209961,1366.77002,1366.77002,4841630208
15/01/2018,Mon,1365.209961,1390.589966,1290.599976,1291.920044,1291.920044,4781100032
16/01/2018,Tue,1292.630005,1292.630005,875.544983,1053.689941,1053.689941,8405139968
17/01/2018,Wed,1061.339966,1090.22998,780.921997,1014.25,1014.25,8545160192
18/01/2018,Thu,1016.440002,1100.310059,967.758972,1036.280029,1036.280029,5938319872
19/01/2018,Fri,1028.819946,1093.219971,1003.710022,1039.099976,1039.099976,4084450048
20/01/2018,Sat,1044.949951,1167.109985,1044.949951,1155.150024,1155.150024,3975190016
21/01/2018,Sun,1155.680054,1155.680054,1021.5,1049.579956,1049.579956,3378089984
22/01/2018,Mon,1055.349976,1089.099976,930.741028,1003.26001,1003.26001,3810099968
23/01/2018,Tue,1004.169983,1023.22998,920.539978,986.229004,986.229004,3556699904
24/01/2018,Wed,987.47699,1062.439941,965.807983,1058.780029,1058.780029,3944039936
25/01/2018,Thu,1063.219971,1104.660034,1034.73999,1056.030029,1056.030029,4050190080
26/01/2018,Fri,1052.699951,1080.599976,996.783997,1055.170044,1055.170044,3617690112
27/01/2018,Sat,1055.75,1121.97998,1042.119995,1107.069946,1107.069946,3002870016
28/01/2018,Sun,1111.780029,1257.77002,1111.780029,1246.01001,1246.01001,5372329984
29/01/2018,Mon,1246.699951,1256.699951,1169.079956,1182.359985,1182.359985,3715079936
30/01/2018,Tue,1184.130005,1184.630005,1058.969971,1071.130005,1071.130005,4107859968
31/01/2018,Wed,1071.089966,1128.660034,1034.5,1118.310059,1118.310059,3757560064
01/02/2018,Thu,1119.369995,1161.349976,984.81897,1036.790039,1036.790039,5261680128
02/02/2018,Fri,1035.77002,1035.77002,757.97998,915.784973,915.784973,6713290240
03/02/2018,Sat,919.210999,991.942993,847.690002,964.018982,964.018982,3243480064
04/02/2018,Sun,964.666992,969.031982,805.064026,834.682007,834.682007,2997090048
05/02/2018,Mon,834.958008,856.645996,644.598999,697.950989,697.950989,4269530112
06/02/2018,Tue,707.737,796.439026,574.419006,793.122009,793.122009,6518269952
07/02/2018,Wed,790.427979,851.200012,723.432983,757.067993,757.067993,3896179968
08/02/2018,Thu,755.843018,845.085999,755.843018,817.807007,817.807007,3708189952
09/02/2018,Fri,818.47998,884.004028,788.833984,883.86499,883.86499,2495820032
10/02/2018,Sat,882.46698,917.400024,825.577026,860.414978,860.414978,2930530048
11/02/2018,Sun,859.288025,859.288025,788.221985,814.659973,814.659973,2486650112
12/02/2018,Mon,817.507996,875.937012,817.507996,868.70697,868.70697,2243450112
13/02/2018,Tue,869.29303,870.708984,828.836975,845.257996,845.257996,2081170048
14/02/2018,Wed,844.278992,926.429016,844.278992,923.560974,923.560974,2818370048
15/02/2018,Thu,923.728027,951.947998,911.111023,936.976013,936.976013,2900100096
16/02/2018,Fri,934.786011,950.005005,917.848022,944.210022,944.210022,2369449984
17/02/2018,Sat,944.747986,976.594971,940.754028,974.11499,974.11499,2525720064
18/02/2018,Sun,973.348999,982.932983,915.445007,923.921021,923.921021,2567290112
19/02/2018,Mon,921.66803,957.776978,921.554016,943.86499,943.86499,2169019904
20/02/2018,Tue,943.567017,965.265015,892.953979,895.370972,895.370972,2545260032
21/02/2018,Wed,894.13501,912.375,830.562988,849.971008,849.971008,2531729920
22/02/2018,Thu,849.262024,875.926025,802.66803,812.844971,812.844971,2150370048
23/02/2018,Fri,811.585022,886.317993,794.791016,864.189026,864.189026,2334820096
24/02/2018,Sat,861.593018,879.531006,818.549988,840.515015,840.515015,1926579968
25/02/2018,Sun,839.458984,853.145996,822.380981,844.809998,844.809998,1646960000
26/02/2018,Mon,845.278015,880.392029,842.31897,869.315002,869.315002,2044480000
27/02/2018,Tue,870.36499,896.258972,867.096985,878.265015,878.265015,2053980032
28/02/2018,Wed,877.934021,890.107971,855.124023,855.198975,855.198975,1963980032
01/03/2018,Thu,856.012024,880.302002,851.919983,872.200012,872.200012,1868519936
02/03/2018,Fri,871.763977,876.377991,852.421997,856.853027,856.853027,1894419968
03/03/2018,Sat,856.710999,868.453979,855.20697,857.224976,857.224976,1699369984
04/03/2018,Sun,856.185974,867.950012,840.280029,866.677979,866.677979,1697939968
05/03/2018,Mon,866.846008,869.919983,853.52002,853.684021,853.684021,1898489984
06/03/2018,Tue,853.817017,853.817017,809.93103,816.950989,816.950989,1943069952
07/03/2018,Wed,816.270996,825.606995,726.546997,752.830994,752.830994,2175419904
08/03/2018,Thu,752.570007,773.767029,696.169006,704.596008,704.596008,1891640064
09/03/2018,Fri,702.197021,729.156006,648.106995,728.916016,728.916016,2233019904
10/03/2018,Sat,730.159973,748.031006,682.695007,686.890015,686.890015,1532960000
11/03/2018,Sun,685.312012,735.830994,668.122986,723.338989,723.338989,1562680064
12/03/2018,Mon,724.406006,742.513977,683.268005,699.830994,699.830994,1764999936
13/03/2018,Tue,698.153015,713.734985,682.349976,690.827026,690.827026,1425959936
14/03/2018,Wed,691.218994,702.783997,594.099976,614.291016,614.291016,1810560000
15/03/2018,Thu,614.838989,620.616028,579.505005,611.304016,611.304016,1770460032
16/03/2018,Fri,611.778015,623.16803,587.862,601.666016,601.666016,1417350016
17/03/2018,Sat,601.677979,609.151001,549.096008,552.778992,552.778992,1267810048
18/03/2018,Sun,551.640015,551.640015,460.088013,538.643982,538.643982,2685499904
19/03/2018,Mon,546.625977,558.099976,519.122986,556.726013,556.726013,2046790016
20/03/2018,Tue,556.721985,567.090027,521.203979,557.174988,557.174988,1833680000
21/03/2018,Wed,559.099976,589.606995,550.572021,561.731995,561.731995,1781270016
22/03/2018,Thu,562.103027,577.565979,523.088989,539.702026,539.702026,1523459968
23/03/2018,Fri,539.864014,540.487,512.127014,539.619019,539.619019,1596349952
24/03/2018,Sat,542.572021,545.382019,526.080017,526.439026,526.439026,1300009984
25/03/2018,Sun,522.703003,535.820984,515.658997,524.286987,524.286987,1151170048
26/03/2018,Mon,524.286987,526.379028,470.440002,489.950989,489.950989,1638880000
27/03/2018,Tue,489.589996,491.459015,449.971008,450.115997,450.115997,1617939968
28/03/2018,Wed,450.290985,466.210999,444.860992,446.278992,446.278992,1514179968
29/03/2018,Thu,448.075012,450.812988,385.812988,385.967987,385.967987,1970230016
30/03/2018,Fri,385.904999,409.928986,368.632996,394.644989,394.644989,1878130048
31/03/2018,Sat,395.003998,418.467987,392.953003,396.457001,396.457001,1323920000
01/04/2018,Sun,397.253998,400.528015,363.804993,379.606995,379.606995,1256930048
02/04/2018,Mon,379.699005,395.17099,377.592987,386.424988,386.424988,1102259968
03/04/2018,Tue,387.312012,418.967987,383.532013,416.893005,416.893005,1363399936
04/04/2018,Wed,416.484985,417.471985,375.309998,380.542999,380.542999,1287730048
05/04/2018,Thu,379.946991,387.716003,369.81601,383.231995,383.231995,1210680064
06/04/2018,Fri,382.730988,385.195007,366.911011,370.285004,370.285004,967105984
07/04/2018,Sat,370.380005,393.05899,369.936005,385.313995,385.313995,951475008
08/04/2018,Sun,385.743011,402.589996,385.60199,400.507996,400.507996,948488000
09/04/2018,Mon,400.856995,429.251007,390.609985,398.526001,398.526001,1478390016
10/04/2018,Tue,399.411011,415.888,393.878998,414.243011,414.243011,1196000000
11/04/2018,Wed,415.023987,430.540009,412.471008,430.540009,430.540009,1439040000
12/04/2018,Thu,430.161011,493.058014,417.412994,492.94101,492.94101,2519360000
13/04/2018,Fri,493.160004,526.469971,482.658997,492.734985,492.734985,2419249920
14/04/2018,Sat,492.579987,512.023987,488.278992,501.477997,501.477997,1519079936
15/04/2018,Sun,502.880005,531.702026,502.880005,531.702026,531.702026,1726089984
16/04/2018,Mon,532.073975,534.197021,500.25,511.147003,511.147003,1758979968
17/04/2018,Tue,511.144989,518.031006,502.563995,502.894012,502.894012,1760359936
18/04/2018,Wed,503.30899,525.09198,503.045013,524.789001,524.789001,1762940032
19/04/2018,Thu,524.038025,567.888977,523.262024,567.888977,567.888977,2256869888
20/04/2018,Fri,567.989014,618.715027,560.28302,615.718018,615.718018,2849469952
21/04/2018,Sat,616.004028,621.888,578.549988,605.39502,605.39502,2612460032
22/04/2018,Sun,606.119019,640.767029,593.869019,621.859985,621.859985,2426269952
23/04/2018,Mon,621.198975,646.700012,621.034973,642.547974,642.547974,2386830080
24/04/2018,Tue,643.39801,708.875,643.39801,708.15802,708.15802,3581860096
25/04/2018,Wed,707.062012,707.062012,600.211975,615.416016,615.416016,4216140032
26/04/2018,Thu,618.078979,663.18103,604.007019,662.809021,662.809021,2984009984
27/04/2018,Fri,662.109009,684.867981,647.031982,647.031982,647.031982,2598129920
28/04/2018,Sat,644.645996,691.442017,644.645996,683.677979,683.677979,2496659968
29/04/2018,Sun,683.911987,697.755981,670.513,688.880981,688.880981,2740559872
30/04/2018,Mon,689.760986,694.439026,666.117004,669.924011,669.924011,2853100032
01/05/2018,Tue,670.463013,674.403015,637.539978,673.612976,673.612976,2678960128
02/05/2018,Wed,674.075012,688.84198,667.419983,687.148987,687.148987,2822269952
03/05/2018,Thu,686.591003,784.341003,686.591003,779.54303,779.54303,4210939904
04/05/2018,Fri,776.775024,803.745972,762.632019,785.624023,785.624023,3533410048
05/05/2018,Sat,784.583008,827.455017,784.237,816.119995,816.119995,3035040000
06/05/2018,Sun,816.088013,835.057007,764.882996,792.310974,792.310974,3105570048
07/05/2018,Mon,793.338989,795.757996,710.177979,753.724976,753.724976,4316120064
08/05/2018,Tue,755.008972,774.249023,728.129028,752.856995,752.856995,2920489984
09/05/2018,Wed,752.901978,759.528992,718.471985,752.275024,752.275024,2877870080
10/05/2018,Thu,752.578979,766.747986,726.664001,727.276978,727.276978,2748950016
11/05/2018,Fri,727.013,736.97699,669.825012,679.585999,679.585999,3290080000
12/05/2018,Sat,679.877014,691.411011,644.065979,686.047974,686.047974,2668480000
13/05/2018,Sun,687.174988,741.312012,675.31897,733.495972,733.495972,2362500096
14/05/2018,Mon,732.732971,742.169983,695.791992,730.549011,730.549011,3005110016
15/05/2018,Tue,731.143005,739.052002,700.994995,708.870972,708.870972,2523069952
16/05/2018,Wed,708.086975,710.200012,682.541016,707.049988,707.049988,2476130048
17/05/2018,Thu,708.718018,718.833008,668.833984,672.656982,672.656982,2350619904
18/05/2018,Fri,672.10199,695.031006,663.809021,694.367004,694.367004,2305740032
19/05/2018,Sat,695.072021,715.578003,686.791016,696.530029,696.530029,2021549952
20/05/2018,Sun,697.922974,723.752991,692.669006,715.369019,715.369019,2156910080
21/05/2018,Mon,717.192993,719.278015,692.494019,699.221985,699.221985,2005170048
22/05/2018,Tue,700.177979,700.976013,644.026001,647.741028,647.741028,2230469888
23/05/2018,Wed,646.669983,651.635986,572.952026,583.585022,583.585022,2995429888
24/05/2018,Thu,584.536011,610.817993,557.205994,601.755005,601.755005,2791099904
25/05/2018,Fri,602.140015,617.185974,575.624023,586.734009,586.734009,2110919936
26/05/2018,Sat,587.426025,606.174988,583.512024,587.280029,587.280029,1694300032
27/05/2018,Sun,588.52002,590.328003,562.866028,572.66803,572.66803,1788790016
28/05/2018,Mon,573.044983,576.049011,512.552002,516.036011,516.036011,2356900096
29/05/2018,Tue,516.14801,572.263977,516.14801,565.388,565.388,2330820096
30/05/2018,Wed,566.830017,583.135986,545.43103,559.590027,559.590027,2053970048
31/05/2018,Thu,558.497009,585.538025,557.065979,577.64502,577.64502,1985040000
01/06/2018,Fri,578.671997,589.093018,567.664978,580.04303,580.04303,1945890048
02/06/2018,Sat,580.429016,597.077026,577.322021,591.807983,591.807983,1880390016
03/06/2018,Sun,591.258972,624.513,591.258972,618.328979,618.328979,1832550016
04/06/2018,Mon,619.437012,623.429016,583.747009,592.984985,592.984985,1903430016
05/06/2018,Tue,593.406006,611.330017,580.981995,609.302979,609.302979,1844269952
06/06/2018,Wed,610.262024,611.643005,596.395996,607.124023,607.124023,1756530048
07/06/2018,Thu,607.687012,616.143982,601.692993,605.187012,605.187012,1880140032
08/06/2018,Fri,605.442993,608.810974,595.593018,601.077026,601.077026,1637779968
09/06/2018,Sat,600.905029,608.583008,597.562012,597.562012,597.562012,1519309952
10/06/2018,Sun,594.344971,594.344971,511.889008,526.479004,526.479004,2234880000
11/06/2018,Mon,524.856995,536.857971,515.268982,533.283997,533.283997,1982119936
12/06/2018,Tue,532.710022,538.955017,491.234985,496.842987,496.842987,1932760064
13/06/2018,Wed,498.018005,501.904999,459.003998,477.493988,477.493988,2080130048
14/06/2018,Thu,478.381012,523.544983,467.466003,519.742004,519.742004,2458650112
15/06/2018,Fri,520.47998,521.304993,487.468994,491.003998,491.003998,1808269952
16/06/2018,Sat,490.414001,503.222992,488.851013,499.641998,499.641998,1314109952
17/06/2018,Sun,499.459991,507.640991,498.64801,500.447998,500.447998,1264870016
18/06/2018,Mon,499.382996,521.796021,494.06601,518.890991,518.890991,1513869952
19/06/2018,Tue,519.02301,542.353027,516.312012,537.95697,537.95697,1726569984
20/06/2018,Wed,538.505981,541.015015,519.369019,536.268005,536.268005,1596290048
21/06/2018,Thu,536.447021,543.71698,524.258972,527.367004,527.367004,1462070016
