"","Open","High","Low","Close","Adjusted","Volume","rsi","fastK","fastD","slowD","ADX","Close.1","obv","mfi","ad","SMA","SMA.1","macd","signal","EPU","EMU","Tenyrbond","ThreemTbill","OVX","VIX","Fiveyrinfexp","be_inflation","EMV_IDT"
"2017-11-30",10198.59961,11046.7002,9694.650391,10975.59961,10975.59961,6783119872,NA,NA,NA,NA,NA,NA,6783119872,NA,NA,NA,NA,NA,NA,86.95,26.86,"2.476","1.25","23.73","11.43","1.72","1.86",0
"2017-12-03",11315.40039,11657.2002,11081.79981,11657.2002,11657.2002,6132409856,NA,NA,NA,NA,NA,0.0602494403828882,12915529728,NA,681.60059,NA,NA,NA,NA,101.07,20.41,"2.4806","1.28","23.68","11.68","1.76","1.87",0
"2017-12-04",11685.7002,12032,11604.59961,11916.7002,11916.7002,6895260160,NA,NA,NA,NA,NA,0.0220167624336653,19810789888,NA,993.70118,NA,NA,NA,NA,95.44,68.33,"2.4712","1.28","23.129999","11.33","1.69","1.86",0.45
"2017-12-05",11923.40039,14369.09961,11923.40039,14291.5,14291.5,12656300032,NA,NA,NA,NA,NA,0.181724160488452,32467089920,NA,3368.50098,NA,NA,NA,NA,57.79,5.84,"2.4377","1.28","23.129999","11.02","1.74","1.86",0
"2017-12-06",14266.09961,17899.69922,14057.29981,17899.69922,17899.69922,17950699520,NA,NA,NA,NA,NA,0.225118954411162,50417789440,NA,7210.90039,NA,NA,NA,NA,40.69,16.87,"2.4533","1.27","23.129999","10.16","1.74","1.87",0
"2017-12-07",17802.90039,18353.40039,14336.90039,16569.40039,16569.40039,21135998976,NA,NA,NA,NA,NA,-0.0772262650514435,29281790464,NA,5426.90039,NA,NA,NA,NA,63.52,6.67,"2.462","1.26","23.85","9.58","1.71","1.88",0
"2017-12-10",15427.40039,17513.90039,15404.79981,16936.80078,16936.80078,12153900032,NA,NA,NA,NA,NA,0.0219311711240238,41435690496,NA,6958.90136,NA,NA,NA,NA,81.46,10.69,"2.4731","1.31","22.959999","9.34","1.76","1.88",0
"2017-12-11",16919.80078,17781.80078,16571.59961,17415.40039,17415.40039,14603799552,NA,NA,NA,NA,NA,0.0278660792271435,56039490048,NA,7802.70214,NA,NA,NA,NA,66.43,7.93,"2.4856","1.32","22.84","9.92","1.78","1.89",0.46
"2017-12-12",17500,17653.09961,16039.7002,16408.19922,16408.19922,12976900096,NA,NA,NA,NA,NA,-0.0595737323187038,43062589952,NA,6557.80175,NA,NA,NA,NA,52.01,17.07,"2.4494","1.28","23.49","10.18","1.74","1.88",0
"2017-12-13",16384.59961,17085.80078,16185.90039,16564,16564,13777399808,NA,NA,NA,NA,NA,0.00945050334872555,56839989760,NA,6935.90135999999,NA,NA,NA,NA,32.59,22.81,"2.4458","1.3","23","10.49","1.76","1.87",0
"2017-12-14",16601.30078,18154.09961,16601.30078,17706.90039,17706.90039,14309999616,NA,NA,NA,NA,NA,0.0667227504660772,71149989376,NA,8078.80174999999,NA,NA,NA,NA,104.84,82.57,"2.4482","1.29","21.25","9.42","1.77","1.88",0
"2017-12-17",19106.40039,19371,18355.90039,19114.19922,19114.19922,14839499776,NA,NA,NA,NA,NA,0.0764770573670699,85989489152,NA,9486.10057999999,NA,NA,NA,NA,94.77,41.47,"2.4667","1.36","18.43","9.53","1.71","1.89",0
"2017-12-18",19118.30078,19177.80078,17275.40039,17776.69922,17776.69922,16894499840,NA,NA,NA,NA,NA,-0.0725429063342915,69094989312,NA,8084.99901999999,NA,NA,NA,NA,82.4,8.01,"2.5203","1.35","18.879999","10.03","1.74","1.91",1.41
"2017-12-19",17760.30078,17934.69922,16077.7002,16624.59961,16624.59961,22149699584,NA,0.716173918783839,NA,NA,NA,-0.0670050645392966,46945289728,NA,6774.89940999999,NA,NA,-1444.17362308198,NA,57.2,5.56,"2.5585","1.36","19.459999","9.72","1.74","1.92",0.65
"2017-12-20",16642.40039,17567.69922,15342.7002,15802.90039,15802.90039,16516599808,64.9684687874537,0.569548384860518,NA,NA,NA,-0.0506900104693422,30428689920,55.7581579287569,5010.10057999999,NA,NA,-705.945804660038,NA,92.94,39.72,"2.5689","1.33","17.860001","9.62","1.84","1.93",0.33
"2017-12-21",15898,15943.40039,11833,13831.79981,13831.79981,22197999616,57.4107657904229,0.286773806159638,0.524165369934665,NA,NA,-0.133223216858532,8230690304,50.1389676344939,2898.49999999999,NA,NA,383.752849633474,NA,72.69,7.34,"2.5739","1.31","19.26","9.9","1.82","1.94",0
"2017-12-24",13995.90039,14593,13448.90039,14026.59961,14026.59961,10664699904,57.9316095797275,0.291005520031839,0.382442570350665,NA,NA,0.0139852237790183,18895390208,51.0532235391806,3476.19921999999,NA,NA,758.9454831851,NA,101.81,20.56,"2.0966","1.185","43.06","21.12","2.03","2.03",0
"2017-12-25",14036.59961,16461.19922,14028.90039,16099.79981,16099.79981,13454300160,63.1033008631858,0.56603871185991,0.381272679350462,0.429293539878598,NA,0.137851338657597,32349690368,51.5243297832875,5549.39941999999,NA,NA,110.759185511797,NA,106.31,41.35,"2.5651","1.45","20.99","10.25","1.76","1.94",0
"2017-12-26",16163.5,16930.90039,15114.29981,15838.5,15838.5,12487600128,62.0676238167643,0.531374369859379,0.462806200583709,0.408840483428279,NA,-0.0163631528190802,19862090240,44.3453173332345,4456.99903,NA,NA,-81.6955588474211,NA,58.44,13.95,"2.5243","1.42","20.639999","10.47","1.82","1.94",0.41
"2017-12-27",15864.09961,15888.40039,13937.29981,14606.5,14606.5,12336499712,57.2930915912275,0.367935791987265,0.488449624568851,0.444176168167674,NA,-0.0809770498133542,7525590528,46.5504063335976,3175.09863999999,NA,NA,292.087089186745,NA,63.24,12.77,"2.5247","1.37","20.709999","10.18","1.86","1.96",0
"2017-12-28",14695.79981,15279,14307,14656.2002,14656.2002,13025500160,57.4353398607078,0.374529079331388,0.424613080392677,0.458622968515079,NA,0.0033968326537881,20551090688,46.3157711215507,3524.29883999999,NA,NA,416.363690722435,NA,146.43,23.07,"2.5058","1.37","21.32","11.04","1.86","1.96",0.45
"2017-12-31",14112.2002,14112.2002,13154.7002,13657.2002,13657.2002,10291200000,53.5726982558558,0.24200055717697,0.328155142831874,0.413739282597801,NA,-0.0705965980349781,10259890688,40.1878961586084,2525.29883999999,NA,NA,808.759305339738,59.8725129988723,178.3,16.72,"2.0966","1.185","43.06","21.12","2.03","2.03",0
"2018-01-01",13625,15444.59961,13163.59961,14982.09961,14982.09961,16846600192,57.6413407083856,0.417763280711064,0.344764305739807,0.365844176321453,NA,0.0925892594106319,27106490880,47.2913231275302,4343.79883999999,NA,NA,439.083667651254,135.714743929349,111.2,9.12,"2.5369","1.42","22.73","9.77","1.9","2",0
"2018-01-02",14978.2002,15572.79981,14844.5,15201,15201,16871900160,58.2916904650405,0.44680286548156,0.368855567789865,0.347258338787182,NA,0.0145050860132532,43978391040,47.7349008562632,4700.29883999999,NA,NA,169.355170476159,142.442829238711,52.45,12.52,"2.5346","1.39","22.75","9.15","1.87","1.98",0.73
"2018-01-03",15270.7002,15739.7002,14522.2002,15599.2002,15599.2002,21783199744,59.5095494583608,0.499628575218891,0.454731573803838,0.389450482444503,NA,0.0258584285485277,65761590784,49.0460948537061,5777.29883999999,NA,NA,-104.824262998123,92.9894107913439,243.48,70.37,"2.5444","1.39","22.120001","9.22","1.92","2.01",0
"2018-01-04",15477.2002,17705.19922,15202.79981,17429.5,17429.5,23840899072,64.6228642436426,0.761967569663612,0.569466336788021,0.464351159460574,NA,0.110944529236798,89602489856,50.9251413113151,8003.99902999999,NA,NA,-887.756993303772,-103.159870027679,108.68,34.79,"2.5573","1.37","22.299999","9.22","1.95","2.01",1.22
"2018-01-07",16476.19922,16537.90039,14208.2002,15170.09961,15170.09961,18413899776,55.3333586088558,0.546913161347209,0.602836435409904,0.542344782000588,NA,-0.138837813359149,71188590080,51.2257510396881,5744.59863999999,NA,NA,-339.397233882635,-150.40734279867,77.28,9.66,"2.5667","1.43","21.9","9.52","1.91","2.02",0
"2018-01-08",15123.7002,15497.5,14424,14595.40039,14595.40039,16659999744,53.2370627463061,0.470420073724951,0.593100268245257,0.588467680147727,18.5245018239363,-0.0386199222906782,54528590336,53.0934231089815,4842.49902999999,NA,NA,131.574858125367,-94.0109026138631,157.58,7.52,"2.6077","1.42","22.959999","10.08","1.95","2.03",0
"2018-01-09",14588.5,14973.29981,13691.2002,14973.29981,14973.29981,18500800512,54.4588342454602,0.534774058636246,0.517369097902802,0.571101933852654,17.8704280324424,0.0255621650331452,73029390848,60.8847298412862,6124.59863999999,NA,NA,188.327986787144,-37.5431247336616,89.18,23.41,"2.6191","1.4","23.52","9.82","1.94","2.03",0
"2018-01-10",14968.2002,15018.79981,13105.90039,13405.79981,13405.79981,16534099968,48.7672580613183,0.0652054652426226,0.35679986586794,0.489089744005333,16.8867823832738,-0.110581167372137,56495290880,62.4314900878492,4511.59863999999,NA,NA,775.115810088104,124.988662230691,111.72,5.75,"2.6198","1.41","23.52","9.88","1.89","2",0
"2018-01-11",13453.90039,14229.90039,13158.09961,13980.59961,13980.59961,12065699840,50.7979370150311,0.190180993305886,0.263386839061585,0.379185267610776,15.9733971376172,0.0419831914854409,68560990720,62.6437373442946,5334.09863999999,NA,NA,766.956219512649,253.382173687083,107.69,12.85,"2.6345","1.41","23.52","10.16","1.92","2.01",0.38
"2018-01-14",13767.29981,14445.5,13641.7002,13819.79981,13819.79981,12750799872,50.1985075966519,0.155219185877513,0.136868548142007,0.252351751023844,15.2633716935265,-0.0115682937374419,55810190848,56.9155441811423,4708.39845,NA,NA,771.24990896244,356.955720742154,272.42,11.35,"2.0966","1.185","43.06","21.12","2.03","2.03",1.33
"2018-01-15",13836.09961,13843.09961,10194.90039,11490.5,11490.5,18853799936,42.3943727899823,0.172509728218098,0.172636635800499,0.19096400766803,15.6938804693074,-0.184581725691565,36956390912,56.5960239669281,2355.79884,NA,NA,1575.77044412652,600.718665419028,61.57,32.33,"2.636","1.43","26.41","11.66","1.94","2.03",0.47
"2018-01-16",11431.09961,11678,9402.290039,11188.59961,11188.59961,18830600192,41.4939596921494,0.215142612313249,0.18095717546962,0.163487453137375,16.4308925346214,-0.026625239081902,18125790720,56.0867686451977,1866.39845,NA,NA,1930.04145608919,866.58322355306,61.83,11.59,"2.6558","1.42","24.700001","11.91","1.9","2.04",0.34
"2018-01-17",11198.79981,12107.29981,10942.5,11474.90039,11474.90039,15020399616,42.7360647211539,0.249624596128652,0.212425645553333,0.188673152274484,16.810968278733,0.02526670736599,33146190336,55.8451291333647,2398.79884,NA,NA,1849.91251153373,1063.24908114919,115.86,5.63,"2.6922","1.43","24.379999","12.22","1.99","2.05",0
"2018-01-18",11429.79981,11992.79981,11172.09961,11607.40039,11607.40039,10740400128,43.3356426153011,0.265582858119908,0.243450022187269,0.212277614403407,17.1638957554079,0.0114807840556388,43886590464,59.8258054489436,2834.09962,NA,NA,1643.27913479078,1179.25509187751,88.34,20.46,"2.7168","1.42","21.200001","11.27","2","2.06",0
"2018-01-21",11633.09961,11966.40039,10240.2002,10931.40039,10931.40039,10537400320,40.9782427512973,0.184165612036218,0.233124355428259,0.22966667438962,17.9299998650123,-0.0600034418599531,33349190144,54.532394617715,1799.09962,NA,NA,1692.05272921612,1281.81461934523,110.72,30.07,"2.7363","1.43","22.030001","11.03","2","2.06",0.59
"2018-01-22",10944.5,11377.59961,10129.7002,10868.40039,10868.40039,9660609536,40.7557298355156,0.176577910108301,0.208775460088142,0.228449945901223,18.6924600339627,-0.00577988542398344,23688580608,48.8614752656029,1289.9004,NA,NA,1623.48443818603,1350.14858311339,74.52,36.23,"2.714","1.42","22.34","11.1","1.92","2.06",0
"2018-01-23",10903.40039,11501.40039,10639.79981,11359.40039,11359.40039,9940989952,43.338100897232,0.235713809260803,0.19881911046844,0.21357297532828,19.291848972446,0.0441860972589208,33629570560,44.7748689294257,2009.50098,NA,NA,1305.50588286058,1341.22004306283,93.27,10.65,"2.725","1.41","23.93","11.47","1.96","2.07",0.31
"2018-01-24",11421.7002,11785.7002,11057.40039,11259.40039,11259.40039,8873169920,42.9276955046316,0.26025949563512,0.224183738334741,0.210592769630441,19.5905402199495,-0.00884225936804128,24756400640,33.9082340414634,1483.20117,NA,NA,1117.34811669552,1296.44565778937,77.97,31.49,"2.7117","1.4","22.35","11.58","1.91","2.07",0.31
"2018-01-25",11256,11656.7002,10470.29981,11171.40039,11171.40039,9746199552,42.5458673752886,0.290246006670746,0.262073103855556,0.228358650886245,20.1927289049507,-0.0078463941029927,15010201088,36.364725766295,997.901360000002,NA,NA,993.589876910957,1235.87450161369,110,18.43,"2.7391","1.39","22.290001","11.08","1.93","2.09",0
"2018-01-28",11755.5,11875.59961,11179.2002,11296.40039,11296.40039,7107359744,43.3171158343599,0.33723974999206,0.295915084099308,0.260723975429868,20.5387933842227,0.0111271495545857,22117560832,42.734992507626,1122.90136,NA,NA,827.888647876916,1154.27733086633,85.23,44.75,"2.7666","1.43","22.73","13.84","1.92","2.09",0
"2018-01-29",11306.79981,11307.2002,10036.2002,10106.29981,10106.29981,8637859840,38.0764356108304,0.125346487356801,0.250944081339869,0.269644089764911,21.480538137347,-0.11132515244868,13479700992,32.9398326557364,-77.9990299999972,NA,NA,1137.2624181037,1150.87434831381,68.45,41.47,"2.7905","1.42","22.9","14.79","1.97","2.1",0
"2018-01-30",10108.2002,10381.59961,9777.419922,10221.09961,10221.09961,8041160192,38.8450384312125,0.162358810624978,0.208315015991279,0.251724727143485,22.485080280949,0.0112951999568054,21520861184,39.8250579876768,365.680658000003,NA,NA,1153.41363066173,1151.38220478339,71.84,27.74,"2.8013","1.44","22.23","13.54","1.98","2.11",0.98
"2018-01-31",10237.29981,10288.79981,8812.280273,9170.540039,9170.540039,9959400448,34.6112639415777,0.0635976907278908,0.117100996236556,0.192120031189234,23.8754262796513,-0.108457996456691,11561460736,32.0944815561569,-752.579112999998,NA,NA,1468.7234234261,1214.85044851193,49.78,16.34,"2.8462","1.46","22.24","13.47","1.93","2.11",0.64
"2018-02-01",9142.280273,9142.280273,7796.490234,8830.75,8830.75,12726899712,33.3453558784624,0.171047888442265,0.132334796598377,0.152583602942071,25.5862474337803,-0.0377562277433103,-1165438976,33.2856166472167,-1092.369152,NA,NA,1632.03245302892,1298.28684941533,61.2,25.71,"2.893","1.46","23.799999","17.31","1.93","2.14",0
"2018-02-04",8270.540039,8364.839844,6756.680176,6955.27002,6955.27002,9285289984,27.3905012991093,0.0371152983363048,0.0905869591688198,0.113340917334584,27.5490250922987,-0.23874030023171,-10450728960,36.5141644080385,-2967.849132,NA,NA,2281.67352832154,1494.96418519657,145.79,31.03,"2.8546","1.49","25.91","37.32","1.95","2.1",0.61
